symbol,date,price
AMZN,8-Dec,51.28
AMZN,9-Jan,58.82
AMZN,9-Feb,64.79
AMZN,9-Mar,73.44
AMZN,9-Apr,80.52
AMZN,9-May,77.99
AMZN,9-Jun,83.66
AMZN,9-Jul,85.76
AMZN,9-Aug,81.19
AMZN,9-Sep,93.36
AMZN,9-Oct,118.81
AMZN,9-Nov,135.91
AMZN,9-Dec,134.52
AMZN,10-Jan,125.41
AMZN,10-Feb,118.4
AMZN,10-Mar,128.82
IBM,Jan-00,100.52
IBM,Feb-00,92.11
IBM,Mar-00,106.11
IBM,Apr-00,99.95
IBM,May-00,96.31
IBM,Jun-00,98.33
IBM,Jul-00,100.74
IBM,Aug-00,118.62
IBM,Sep-00,101.19
IBM,Oct-00,88.5
IBM,Nov-00,84.12
IBM,Dec-00,76.47
IBM,1-Jan,100.76
IBM,1-Feb,89.98
IBM,1-Mar,86.63
IBM,1-Apr,103.7
IBM,1-May,100.82
IBM,1-Jun,102.35
IBM,1-Jul,94.87
IBM,1-Aug,90.25
IBM,1-Sep,82.82
IBM,1-Oct,97.58
IBM,1-Nov,104.5
IBM,1-Dec,109.36
IBM,2-Jan,97.54
IBM,2-Feb,88.82
IBM,2-Mar,94.15
IBM,2-Apr,75.82
IBM,2-May,72.97
IBM,2-Jun,65.31
IBM,2-Jul,63.86
IBM,2-Aug,68.52
IBM,2-Sep,53.01
IBM,2-Oct,71.76
IBM,2-Nov,79.16
IBM,2-Dec,70.58
IBM,3-Jan,71.22
IBM,3-Feb,71.13
IBM,3-Mar,71.57
IBM,3-Apr,77.47
IBM,3-May,80.48
IBM,3-Jun,75.42
IBM,3-Jul,74.28
IBM,3-Aug,75.12
IBM,3-Sep,80.91
IBM,3-Oct,81.96
IBM,3-Nov,83.08
IBM,3-Dec,85.05
IBM,4-Jan,91.06
IBM,4-Feb,88.7
IBM,4-Mar,84.41
IBM,4-Apr,81.04
IBM,4-May,81.59
IBM,4-Jun,81.19
IBM,4-Jul,80.19
IBM,4-Aug,78.17
IBM,4-Sep,79.13
IBM,4-Oct,82.84
IBM,4-Nov,87.15
IBM,4-Dec,91.16
IBM,5-Jan,86.39
IBM,5-Feb,85.78
IBM,5-Mar,84.66
IBM,5-Apr,70.77
IBM,5-May,70.18
IBM,5-Jun,68.93
IBM,5-Jul,77.53
IBM,5-Aug,75.07
IBM,5-Sep,74.7
IBM,5-Oct,76.25
IBM,5-Nov,82.98
IBM,5-Dec,76.73
IBM,6-Jan,75.89
IBM,6-Feb,75.09
IBM,6-Mar,77.17
IBM,6-Apr,77.05
IBM,6-May,75.04
IBM,6-Jun,72.15
IBM,6-Jul,72.7
IBM,6-Aug,76.35
IBM,6-Sep,77.26
IBM,6-Oct,87.06
IBM,6-Nov,86.95
IBM,6-Dec,91.9
IBM,7-Jan,93.79
IBM,7-Feb,88.18
IBM,7-Mar,89.44
IBM,7-Apr,96.98
IBM,7-May,101.54
IBM,7-Jun,100.25
IBM,7-Jul,105.4
IBM,7-Aug,111.54
IBM,7-Sep,112.6
IBM,7-Oct,111
IBM,7-Nov,100.9
IBM,7-Dec,103.7
IBM,8-Jan,102.75
IBM,8-Feb,109.64
IBM,8-Mar,110.87
IBM,8-Apr,116.23
IBM,8-May,125.14
IBM,8-Jun,114.6
IBM,8-Jul,123.74
IBM,8-Aug,118.16
IBM,8-Sep,113.53
IBM,8-Oct,90.24
IBM,8-Nov,79.65
IBM,8-Dec,82.15
IBM,9-Jan,89.46
IBM,9-Feb,90.32
IBM,9-Mar,95.09
IBM,9-Apr,101.29
IBM,9-May,104.85
IBM,9-Jun,103.01
IBM,9-Jul,116.34
IBM,9-Aug,117
IBM,9-Sep,118.55
IBM,9-Oct,119.54
IBM,9-Nov,125.79
IBM,9-Dec,130.32
IBM,10-Jan,121.85
IBM,10-Feb,127.16
IBM,10-Mar,125.55
AAPL,Jan-00,25.94
AAPL,Feb-00,28.66
AAPL,Mar-00,33.95
AAPL,Apr-00,31.01
AAPL,May-00,21
AAPL,Jun-00,26.19
AAPL,Jul-00,25.41
AAPL,Aug-00,30.47
AAPL,Sep-00,12.88
AAPL,Oct-00,9.78
AAPL,Nov-00,8.25
AAPL,Dec-00,7.44
AAPL,1-Jan,10.81
AAPL,1-Feb,9.12
AAPL,1-Mar,11.03
AAPL,1-Apr,12.74
AAPL,1-May,9.98
AAPL,1-Jun,11.62
AAPL,1-Jul,9.4
AAPL,1-Aug,9.27
AAPL,1-Sep,7.76
AAPL,1-Oct,8.78
AAPL,1-Nov,10.65
AAPL,1-Dec,10.95
AAPL,2-Jan,12.36
AAPL,2-Feb,10.85
AAPL,2-Mar,11.84
AAPL,2-Apr,12.14
AAPL,2-May,11.65
AAPL,2-Jun,8.86
AAPL,2-Jul,7.63
AAPL,2-Aug,7.38
AAPL,2-Sep,7.25
AAPL,2-Oct,8.03
AAPL,2-Nov,7.75
AAPL,2-Dec,7.16
AAPL,3-Jan,7.18
AAPL,3-Feb,7.51
AAPL,3-Mar,7.07
AAPL,3-Apr,7.11
AAPL,3-May,8.98
AAPL,3-Jun,9.53
AAPL,3-Jul,10.54
AAPL,3-Aug,11.31
AAPL,3-Sep,10.36
AAPL,3-Oct,11.44
AAPL,3-Nov,10.45
AAPL,3-Dec,10.69
AAPL,4-Jan,11.28
AAPL,4-Feb,11.96
AAPL,4-Mar,13.52
AAPL,4-Apr,12.89
AAPL,4-May,14.03
AAPL,4-Jun,16.27
AAPL,4-Jul,16.17
AAPL,4-Aug,17.25
AAPL,4-Sep,19.38
AAPL,4-Oct,26.2
AAPL,4-Nov,33.53
AAPL,4-Dec,32.2
AAPL,5-Jan,38.45
AAPL,5-Feb,44.86
AAPL,5-Mar,41.67
AAPL,5-Apr,36.06
AAPL,5-May,39.76
AAPL,5-Jun,36.81
AAPL,5-Jul,42.65
AAPL,5-Aug,46.89
AAPL,5-Sep,53.61
AAPL,5-Oct,57.59
AAPL,5-Nov,67.82
AAPL,5-Dec,71.89
AAPL,6-Jan,75.51
AAPL,6-Feb,68.49
AAPL,6-Mar,62.72
AAPL,6-Apr,70.39
AAPL,6-May,59.77
AAPL,6-Jun,57.27
AAPL,6-Jul,67.96
AAPL,6-Aug,67.85
AAPL,6-Sep,76.98
AAPL,6-Oct,81.08
AAPL,6-Nov,91.66
AAPL,6-Dec,84.84
AAPL,7-Jan,85.73
AAPL,7-Feb,84.61
AAPL,7-Mar,92.91
AAPL,7-Apr,99.8
AAPL,7-May,121.19
AAPL,7-Jun,122.04
AAPL,7-Jul,131.76
AAPL,7-Aug,138.48
AAPL,7-Sep,153.47
AAPL,7-Oct,189.95
AAPL,7-Nov,182.22
AAPL,7-Dec,198.08
AAPL,8-Jan,135.36
AAPL,8-Feb,125.02
AAPL,8-Mar,143.5
AAPL,8-Apr,173.95
AAPL,8-May,188.75
AAPL,8-Jun,167.44
AAPL,8-Jul,158.95
AAPL,8-Aug,169.53
AAPL,8-Sep,113.66
AAPL,8-Oct,107.59
AAPL,8-Nov,92.67
AAPL,8-Dec,85.35
AAPL,9-Jan,90.13
AAPL,9-Feb,89.31
AAPL,9-Mar,105.12
AAPL,9-Apr,125.83
AAPL,9-May,135.81
AAPL,9-Jun,142.43
AAPL,9-Jul,163.39
AAPL,9-Aug,168.21
AAPL,9-Sep,185.35
AAPL,9-Oct,188.5
AAPL,9-Nov,199.91
AAPL,9-Dec,210.73
AAPL,10-Jan,192.06
AAPL,10-Feb,204.62
AAPL,10-Mar,223.02
